Manufacturer,Model,Price,Transmission,Power,Engine CC,Total,Manufacturer_le,Model_freq,Fuel_automatic,Fuel_diesel,Fuel_petrol
Kia,Sportage,43.97,6.6,115.3,1634.2,23926,21,18,0,1,0
Mercedes,Sprinter,43.06842105,6.254385965,104.2017544,2222.710526,23818,30,19,0,1,0
Hyundai,Santa,44.14181818,6.545454545,144.6363636,2242.636364,23796,19,13,0,1,0
Toyota,Previa,43.08,4.666666667,105.0,2239.666667,23741,48,20,0,0,1
Toyota,Prius,33.798,0.0,96.0,1797.4,23668,48,10,0,0,1
Chevrolet,Matiz,9.492272727,4.909090909,40.81818182,850.2727273,23313,6,9,0,0,1
Seat,Alhambra,49.82277778,6.0,115.8333333,1746.944444,23273,41,17,0,0,1
Suzuki,Ignis,19.45142857,3.571428571,61.0,1197.0,23169,46,13,0,0,1
MG,TF,32.09,4.0,98.2,1754.4,22971,27,12,0,0,1
Saab,900,37.00904545,4.590909091,114.6818182,2208.090909,22872,40,20,0,0,1
Jaguar,XK,145.6466667,6.0,283.0,5000.0,22772,20,18,0,0,1
Volvo,850,36.38445588,4.5,125.7058824,2294.764706,22710,51,20,0,0,1
BMW,Z4,64.109625,6.75,202.125,2778.0,22639,4,11,0,0,1
Kia,Sorento,36.01325,6.0,151.6666667,2048.666667,22627,21,11,0,0,1
Toyota,Starlet,11.389,4.142857143,53.0,1308.285714,22135,48,20,0,0,1
BMW,740i,115.533,8.0,250.0,2998.0,22047,4,20,0,0,1
Ford,S-MAX,47.52333333,6.0,128.8888889,1886.555556,21908,17,8,0,1,0
Mazda,626,20.7195,4.71875,81.375,1950.90625,21437,29,20,0,0,1
Volvo,S80,50.94,6.266666667,138.2833333,1986.766667,21020,51,15,0,1,0
Nissan,Terrano,37.01736842,4.736842105,97.57894737,2697.368421,20526,34,20,0,1,0
Peugeot,405,20.43008333,4.791666667,69.875,1773.0,20425,36,20,0,0,1
Chrysler,PT,29.88478947,4.736842105,109.1052632,2238.631579,20317,7,14,0,0,1
Subaru,Forester,51.646,0.0,110.0,1995.0,19881,45,16,0,0,1
Renault,Kangoo,18.76848837,4.860465116,67.02325581,1391.023256,19551,38,14,0,1,0
Volvo,940,30.236875,4.5,110.0,2316.0,19281,51,20,0,0,1
Rover,Mini,7.92,4.0,33.33333333,868.3333333,19127,39,20,0,0,1
Subaru,Legacy,37.52210345,3.896551724,107.3793103,2084.37931,19041,45,20,0,0,1
Seat,Altea,27.13,5.768421053,96.05263158,1774.778947,19032,41,10,0,1,0
BMW,Z3,39.7374,4.6,115.0,2234.4,18943,4,17,0,0,1
Smart,Fortwo,19.9680625,2.8125,55.375,592.5625,18855,43,9,1,0,0
Mercedes,B,41.38957143,7.285714286,105.7142857,1545.428571,18794,30,9,0,1,0
Kia,Carens,31.195,6.0,105.875,1755.75,18703,21,13,0,0,1
Kia,Ceed,26.97522727,5.863636364,88.09090909,1460.795455,18646,21,7,0,0,1
BMW,M3,135.1055,6.5,309.0,3999.0,18181,4,19,0,0,1
Citroen,AX,10.83275,5.0,45.0,1242.0,17819,8,20,0,0,1
MG,ZS,30.99,0.0,105.0,335.0,17805,27,13,1,0,0
Hyundai,Matrix,18.513,4.6,76.0,1599.0,17786,19,12,0,0,1
Audi,A2,23.0525,5.0,55.0,1406.0,17483,3,13,0,0,1
MG,ZT,42.74666667,5.0,128.5,2548.833333,17044,27,12,0,0,1
Mercedes,SLS,264.675,7.0,420.0,6208.0,16050,30,19,0,0,1
Mitsubishi,Lancer,23.01661538,4.730769231,90.88461538,1709.538462,15883,32,20,0,0,1
Mitsubishi,Space,23.16515789,3.947368421,82.15789474,1817.315789,15722,32,49,0,0,1
Hyundai,I30,28.60918919,5.945945946,100.5945946,1387.621622,15515,19,7,0,0,1
Volvo,C70,52.19640625,5.3125,126.5,2323.9375,15472,51,14,0,0,1
Peugeot,Partner,20.36464286,5.857142857,82.25,1534.392857,15443,36,12,0,1,0
Seat,Arosa,13.70454545,4.818181818,47.45454545,1384.0,15280,41,16,0,0,1
Mercedes,CLA,46.5274,7.04,131.6,1596.92,15261,30,33,0,0,1
Fiat,Multipla,25.2075,5.0,80.5,1753.0,15205,16,14,0,0,1
Volkswagen,Jetta,31.30566667,6.259259259,96.92592593,1587.222222,14802,50,20,0,0,1
Mercedes,190,36.64326667,4.466666667,88.73333333,2284.133333,14727,30,20,0,0,1
Ford,C-MAX,32.1815,6.0,99.0,1448.6,14600,17,7,0,0,1
Daihatsu,Sirion,14.333375,4.5625,59.875,1183.25,14584,11,15,0,0,1
Volkswagen,Touareg,94.098125,8.0,190.0,2967.0,14568,50,10,0,1,0
Ford,Streetka,26.0,5.0,70.0,1597.0,14503,17,11,0,0,1
Fiat,Doblo,25.17006452,5.516129032,79.30645161,1523.741935,14500,16,12,0,1,0
Hyundai,Tucson,41.59161538,6.461538462,111.3076923,1624.769231,14475,19,10,0,0,1
Honda,HR-V,32.723,3.6,96.0,1498.0,14136,18,15,0,0,1
Chevrolet,Kalos,14.22409091,4.727272727,64.45454545,1353.363636,13531,6,9,0,0,1
Mazda,5,22.12540909,5.5,75.09090909,1622.681818,12941,29,9,0,0,1
Daihatsu,Terios,26.19775,4.625,77.0,1495.0,12933,11,16,0,0,1
Audi,80,27.09825,4.666666667,91.75,2247.333333,12861,3,20,0,0,1
Volvo,C30,32.4898913,5.304347826,113.2826087,2093.021739,12491,51,9,0,0,1
Mercedes,300,62.39565385,4.384615385,135.5,2972.307692,12439,30,20,0,0,1
Jaguar,XF,78.74625,8.0,176.25,1997.0,12279,20,6,0,1,0
Hyundai,I20,21.847,6.090909091,70.72727273,1052.272727,12272,19,5,0,0,1
Seat,Toledo,20.37,5.642857143,74.21428571,1324.357143,12193,41,20,0,0,1
Volvo,440,20.27896296,4.111111111,72.85185185,1832.888889,11864,51,20,0,0,1
Honda,FR-V,33.12857143,5.285714286,103.0,1914.714286,11859,18,9,0,0,1
Suzuki,SX4,20.6695,4.75,88.0,1586.0,11802,46,8,0,0,1
Fiat,Cinquecento,7.712,5.0,29.0,899.0,11613,16,20,0,0,1
Volkswagen,Eos,42.2862,6.0,113.8,1740.0,11518,50,8,0,0,1
Smart,City-coupe,13.2053,6.0,35.8,679.0,11400,43,11,0,0,1
Ford,Maverick,29.151,5.0,89.0,2526.5,11289,17,20,0,0,1
Land-Rover,Defender,108.7471951,7.853658537,207.6097561,2304.97561,11165,24,20,0,1,0
Ford,Sierra,18.2955625,4.875,70.25,1836.5,11157,17,20,0,0,1
Volkswagen,Fox,12.49833333,5.0,48.66666667,1336.666667,10795,50,8,0,0,1
Suzuki,Liana,18.88233333,4.666666667,74.0,1523.333333,10785,46,12,0,0,1
Chevrolet,Lacetti,18.76285714,4.714285714,80.42857143,1612.928571,10713,6,9,0,0,1
Ford,Cougar,32.11766667,4.666666667,115.3333333,2362.0,10483,17,15,0,0,1
Fiat,Marea,20.1241875,4.875,79.875,1836.875,10335,16,17,0,0,1
Skoda,Superb,39.725,6.8,110.0,1592.0,10314,42,11,0,0,1
BMW,640i,114.8758333,8.0,235.0,2979.0,9928,4,20,0,0,1
Chrysler,Neon,19.71783333,4.0,98.0,1995.0,9913,7,18,0,0,1
Ford,Kuga,38.7525,0.0,165.0,2488.0,9796,17,6,0,0,1
Audi,A5,59.43242424,7.0,150.4545455,1981.818182,9728,3,7,0,0,1
Saab,9000,41.616,4.6,125.36,2336.52,9726,40,20,0,0,1
Hyundai,Lantra,16.4455,4.666666667,78.0,1741.0,9554,19,20,0,0,1
Audi,Q7,106.5488889,8.0,210.0,2976.333333,9544,3,8,0,1,0
Porsche,Cayenne,158.976,8.0,326.0,3295.0,9335,37,11,0,0,1
Volvo,XC70,58.46907407,6.444444444,148.5185185,2174.037037,9038,51,11,0,1,0
Volkswagen,Tiguan,44.30857143,6.714285714,108.0,1663.928571,9031,50,6,0,0,1
Citroen,C8,45.59125,5.25,104.1666667,2027.833333,8827,8,11,0,0,1
Peugeot,807,45.76307692,5.307692308,109.0769231,2053.0,8804,36,11,0,1,0
Hyundai,Trajet,30.352,4.4,99.0,2117.6,8766,19,13,0,0,1
Mazda,Demio,14.7754,4.8,51.4,1428.4,8669,29,15,0,0,1
Mazda,Premacy,23.22409091,4.909090909,82.0,1938.0,8596,29,14,0,0,1
Audi,A8,116.545,8.0,230.0,2981.0,8419,3,15,0,0,1
Smart,Forfour,24.674,0.0,60.0,160.0,8217,43,9,1,0,0
Mitsubishi,Space,23.16515789,3.947368421,82.15789474,1817.315789,8180,32,49,0,0,1
Fiat,Ulysse,36.70125,4.875,91.75,2019.75,8114,16,17,0,0,1
Honda,Prelude,27.78966667,4.666666667,110.6666667,2050.333333,8000,18,20,0,0,1
Rover,CityRover,11.74,5.0,63.0,1405.0,7864,39,10,0,0,1
Honda,S2000,55.25,6.0,177.0,1997.0,7700,18,14,0,0,1
Toyota,Picnic,25.29875,4.5,94.0,1998.0,7509,48,17,0,0,1
Lotus,Elise,53.792,6.0,134.3333333,1730.0,7470,26,16,0,0,1
Mitsubishi,Galant,25.08266667,4.533333333,93.6,2127.333333,7412,32,20,0,0,1
Nissan,Serena,22.95383333,5.0,67.33333333,1908.166667,7403,34,20,0,0,1
Volkswagen,Scirocco,33.70615385,6.153846154,120.1538462,1750.615385,7280,50,20,0,0,1
Suzuki,Baleno,17.587,4.083333333,73.08333333,1363.5,7190,46,18,0,0,1
Mitsubishi,Outlander,37.44666667,2.611111111,120.3333333,2085.055556,7150,32,10,0,0,1
Bentley,Continental,285.247,7.2,428.2,5577.8,7145,5,10,0,0,1
Mercedes,CLC,42.5595,6.166666667,131.6666667,2313.666667,7046,30,6,0,0,1
Skoda,Roomster,20.9225,5.375,68.875,1272.4375,7042,42,7,0,0,1
Nissan,350Z,55.4225,6.0,221.0,3498.0,6984,34,10,0,0,1
Renault,Twingo,14.94,5.2,59.6,958.6,6931,38,6,0,0,1
Peugeot,1007,18.657,5.0,59.58333333,1407.333333,6803,36,8,0,0,1
Nissan,Pathfinder,60.9552,5.5,146.0,2588.6,6749,34,9,0,1,0
Seat,Cordoba,17.31241935,4.967741935,66.35483871,1655.741935,6711,41,19,0,0,1
Peugeot,806,29.57028571,5.0,84.0,1997.142857,6643,36,18,0,1,0
Audi,S3,60.87,6.75,228.0,1984.0,6486,3,14,0,0,1
Toyota,IQ,17.31777778,3.666666667,58.44444444,1152.888889,6429,48,5,0,0,1
Rover,Streetwise,20.74,5.0,75.0,1695.0,6417,39,11,0,0,1
Chrysler,300C,70.31925,4.5,199.0,4123.5,6333,7,8,0,0,1
Kia,Shuma,15.16166667,4.666666667,75.0,1594.0,6163,21,15,0,0,1
Ford,Scorpio,30.86290909,4.454545455,105.5454545,2458.909091,6120,17,20,0,0,1
Kia,Cerato,19.895,4.8,94.0,1742.6,5582,21,9,0,0,1
Smart,Roadster-coupe,24.35,6.0,60.0,698.0,5578,43,10,0,0,1
Dodge,Caliber,26.59125,4.125,108.625,1911.75,5560,14,8,0,0,1
Alfa-Romeo,GT,37.350625,5.375,121.0625,1972.8125,5478,1,9,0,0,1
Peugeot,607,48.09553571,5.107142857,117.7857143,2315.0,5398,36,12,0,0,1
Renault,19,16.29053333,4.8,57.86666667,1645.133333,5255,38,19,0,0,1
Porsche,Cayman,84.60125,6.5,220.5,3071.0,5167,37,8,0,0,1
Toyota,Camry,30.0062,3.2,115.4666667,2245.6,5163,48,20,0,0,1
Chevrolet,Tacuma,20.20388889,4.777777778,82.33333333,1775.777778,5145,6,8,0,0,1
Hyundai,Sonata,31.7425,4.833333333,119.6666667,2116.0,5055,19,20,0,0,1
Ford,Granada,18.84548718,4.076923077,87.07692308,2326.358974,5025,17,20,0,0,1
Volvo,S70,36.90769355,4.5,126.1451613,2344.0,4984,51,16,0,0,1
Hyundai,Elantra,19.055,4.6,89.2,1827.8,4938,19,13,0,0,1
Suzuki,Splash,13.1466,4.8,55.4,1144.8,4798,46,6,0,0,1
Alfa-Romeo,Spider,55.2,6.0,163.5,2696.5,4649,1,20,0,0,1
Mazda,MX-3,22.127,5.0,83.0,1721.5,4434,29,20,0,0,1
Audi,Cabriolet,43.9745,4.5,98.0,2309.0,4369,3,26,0,0,1
Audi,S4,95.29916667,6.333333333,253.6666667,3764.333333,4336,3,12,0,0,1
Kia,Pride,9.358333333,4.333333333,47.0,1324.0,4315,21,19,0,0,1
Kia,Magentis,28.803,4.8,111.2,2126.8,4273,21,11,0,0,1
Chevrolet,Aveo,18.615,5.2,69.6,1330.4,4158,6,5,0,0,1
Daewoo,Leganza,23.245,4.5,98.0,1998.0,4124,10,15,0,0,1
Peugeot,309,14.350125,4.875,59.5,1642.875,4089,36,20,0,0,1
Porsche,944,59.4905,5.0,137.5,2734.5,4087,37,20,0,0,1
Subaru,Outback,53.62733333,0.0,122.6666667,2331.333333,4068,45,9,0,0,1
Volvo,960,40.7645,4.333333333,133.3333333,2634.222222,3997,51,20,0,0,1
Hyundai,Terracan,44.62833333,4.333333333,127.6666667,3100.333333,3996,19,10,0,1,0
Alfa-Romeo,159,43.26150943,5.905660377,135.3773585,2276.0,3994,1,7,0,1,0
Honda,Stream,27.935,5.0,103.5,1833.0,3955,18,12,0,0,1
Ford,Explorer,76.71,0.0,336.0,0.0,3910,17,17,0,0,1
Chrysler,Crossfire,56.15916667,5.5,174.3333333,3199.0,3830,7,10,0,0,1
Ford,Probe,24.84,5.0,102.0,2244.0,3733,17,20,0,0,1
Ford,Capri,11.7129,4.0,69.0,1864.8,3712,17,20,0,0,1
Toyota,Supra,81.295,8.0,250.0,2998.0,3704,48,20,0,0,1
Audi,Q5,64.50769231,6.846153846,144.2307692,2048.538462,3701,3,5,0,1,0
Daewoo,Nexia,12.47666667,4.666666667,58.66666667,1498.0,3685,10,17,0,0,1
Nissan,Patrol,38.48247059,4.882352941,90.94117647,2953.588235,3671,34,20,0,1,0
Nissan,Pixo,9.465666667,4.666666667,50.0,996.0,3670,34,5,0,0,1
Aston-Martin,Vantage,360.755,6.0,410.0,5341.0,3664,2,8,0,0,1
Volkswagen,Corrado,35.34,5.0,118.0,1781.0,3653,50,20,0,0,1
Honda,Concerto,16.67175,4.5,74.0,1541.5,3634,18,19,0,0,1
Fiat,Idea,20.31264706,5.352941176,63.29411765,1344.823529,3616,16,9,0,1,0
Aston-Martin,DB9,273.755,6.0,381.0,5935.0,3471,2,9,0,0,1
Nissan,Bluebird,14.4382,4.9,64.2,1891.7,3448,34,19,0,0,1
BMW,M550i,134.789,8.0,390.0,4395.0,3414,4,20,0,0,1
Mazda,121,13.191,5.0,51.33333333,1431.333333,3365,29,20,0,0,1
Honda,Shuttle,30.081,4.0,110.0,2254.0,3334,18,20,0,0,1
Mitsubishi,Grandis,30.839,4.6,121.0,2378.0,3326,32,8,0,0,1
Land-Rover,Range,107.6705126,8.277310924,196.3361345,2521.092437,3300,24,40,0,1,0
Ssangyong,Rexton,54.2675,5.666666667,114.0,1998.0,3133,44,9,0,1,0
Chevrolet,Captiva,55.62,6.0,145.75,2460.75,3065,6,6,0,0,1
Audi,RS4,121.77,6.666666667,316.3333333,3740.0,3031,3,8,0,0,1
Audi,100,37.32636,4.76,101.12,2349.08,3024,3,20,0,0,1
Subaru,Justy,11.745,5.0,51.0,998.0,2979,45,20,0,0,1
Ford,Orion,15.40377778,5.0,60.11111111,1593.111111,2938,17,19,0,0,1
Audi,Coupe,35.86943902,5.585365854,117.0243902,1980.634146,2917,3,20,0,0,1
Mercedes,Viano,57.22905851,5.234042553,120.4255319,2309.340426,2883,30,24,0,1,0
Volvo,460,20.49710714,4.142857143,72.42857143,1824.428571,2838,51,18,0,0,1
Mazda,Xedos,28.9602,4.4,100.8,1936.6,2826,29,19,0,0,1
Volkswagen,Vento,18.16715385,4.692307692,70.30769231,1932.153846,2785,50,19,0,0,1
Fiat,Sedici,21.91166667,4.666666667,88.0,1586.0,2744,16,7,0,0,1
Toyota,Hilux,46.60136364,6.0,110.0,2393.0,2660,48,12,0,1,0
Kia,Mentor,14.76166667,4.666666667,75.0,1594.0,2514,21,17,0,0,1
Fiat,Uno,11.28285714,4.285714286,49.28571429,1337.714286,2453,16,18,0,0,1
Skoda,Favorit,7.863333333,5.0,44.0,1289.0,2453,42,18,0,0,1
Aston-Martin,DB7,158.823,4.5,250.0,3228.0,2365,2,14,0,0,1
Nissan,Murano,87.487,0.0,188.0,3498.0,2337,34,8,0,0,1
Mercedes,Viano,57.22905851,5.234042553,120.4255319,2309.340426,2315,30,24,0,1,0
BMW,X6,125.49625,8.0,282.25,3344.75,2299,4,5,0,0,1
Honda,Legend,69.397,5.0,173.0,3358.666667,2298,18,20,0,0,1
Mazda,Tribute,38.025,4.5,129.5,2614.0,2271,29,11,0,0,1
Mercedes,R,88.77777778,7.0,190.0,3377.444444,2246,30,7,0,0,1
Mercedes,Vaneo,28.96891667,5.0,72.625,1707.125,2240,30,11,0,0,1
Honda,Logo,13.382,2.5,48.0,1343.0,2167,18,14,0,0,1
Daihatsu,Copen,23.8115,5.0,64.0,1298.0,2137,11,8,0,0,1
Nissan,Maxima,34.10357143,4.571428571,121.8571429,2555.285714,2090,34,18,0,0,1
Kia,Soul,33.495,0.0,81.0,285.0,2072,21,5,1,0,0
Dodge,Nitro,47.881,5.111111111,141.4444444,3106.666667,2052,14,6,0,1,0
Alfa-Romeo,146,18.19842857,5.0,87.71428571,1696.428571,1952,1,15,0,0,1
Alfa-Romeo,Brera,53.10142857,6.0,163.7142857,2679.285714,1944,1,6,0,0,1
Volkswagen,Transporter,35.37645833,6.0,103.0833333,1968.0,1925,50,6,0,1,0
Honda,Integra,17.5296,4.6,78.4,1549.8,1883,18,20,0,0,1
Chrysler,Sebring,37.471875,5.5,114.5,2167.5,1858,7,5,0,0,1
Alfa-Romeo,166,43.89111111,5.666666667,130.5555556,2457.555556,1745,1,11,0,0,1
Honda,Insight,24.612,0.0,72.0,1339.0,1734,18,5,0,0,1
Mazda,MX-6,30.92666667,4.666666667,110.3333333,2328.333333,1712,29,17,0,0,1
Mercedes,GLK,59.05425,6.75,144.375,2417.875,1630,30,6,0,1,0
Alfa-Romeo,145,17.42714286,5.0,87.71428571,1696.428571,1629,1,15,0,0,1
Mitsubishi,Pajero,45.78386047,4.813953488,106.3023256,2768.511628,1606,32,9,0,1,0
Peugeot,4007,42.93428571,3.857142857,122.1428571,2308.285714,1605,36,5,0,0,1
Fiat,Tipo,23.585,5.8125,80.8125,1446.125,1570,16,16,0,1,0
Renault,Safrane,31.79107143,4.571428571,104.1428571,2211.071429,1536,38,17,0,0,1
Toyota,Paseo,15.764,5.0,66.0,1497.0,1526,48,16,0,0,1
Lexus,GS,78.47722222,0.888888889,224.7777778,3196.555556,1514,25,6,0,0,1
Lexus,RX,88.46428571,0.0,230.0,3456.0,1457,25,8,0,0,1
Daewoo,Espero,16.80266667,4.5,71.0,1764.0,1394,10,15,0,0,1
Porsche,Carrera,646.605,6.0,450.0,5733.0,1392,37,20,0,0,1
Mazda,MPV,35.29583333,5.0,102.0,2129.0,1391,29,9,0,0,1
Citroen,XM,36.35965,4.55,110.5,2345.1,1351,8,16,0,0,1
Audi,RS6,175.835,7.0,433.5,4493.5,1337,3,6,0,0,1
Ssangyong,Musso,38.79428571,4.428571429,98.57142857,2755.571429,1290,44,15,0,1,0
Volkswagen,Phaeton,146.2746154,5.769230769,234.8461538,4089.923077,1285,50,6,0,0,1
Ford,Mustang,74.609,3.2,239.2,3640.2,1282,17,7,0,0,1
Audi,R8,226.3833333,6.5,368.6666667,4857.0,1268,3,5,0,0,1
BMW,850i,111.993,5.0,220.0,4988.0,1259,4,14,0,0,1
Opel,Zafira,35.27,6.0,112.0714286,1574.428571,1259,35,11,0,0,1
Ferrari,F430,260.287,6.0,360.0,4308.0,1257,15,5,0,0,1
Fiat,Croma,34.33029412,5.588235294,105.0,1962.058824,1218,16,15,0,1,0
Daihatsu,Move,12.924,4.0,43.0,989.0,1216,11,13,0,0,1
Toyota,Urban,20.21333333,6.0,74.0,1329.0,1216,48,5,0,0,1
Porsche,928,110.0985,5.0,235.0,4957.0,1149,37,17,0,0,1
Audi,S5,105.465,8.0,257.5,2981.0,1138,3,5,0,0,1
Citroen,C-Crosser,35.72526667,4.4,121.0,2287.6,1118,8,5,0,0,1
Honda,CRX,28.735,4.666666667,100.6666667,1590.0,1112,18,12,0,0,1
Mitsubishi,Space,23.16515789,3.947368421,82.15789474,1817.315789,1097,32,49,0,0,1
Citroen,Nemo,13.44125,5.0,54.5,1304.0,1068,8,5,0,0,1
TVR,Tuscan,107.7,5.0,274.0,3800.5,1047,47,7,0,0,1
Renault,Vel,51.6415625,5.375,126.5,2376.75,1046,38,5,0,0,1
Renault,21,20.35378947,4.789473684,67.68421053,1996.684211,1003,38,16,0,0,1
Ford,Fiesta,18.53214286,5.714285714,68.57142857,1166.142857,1144018,17,20,0,0,1
Ford,Focus,30.61932203,5.966101695,94.03389831,1497.169492,1027918,17,16,0,0,1
Volkswagen,Golf,31.24215385,6.164835165,89.46153846,1537.406593,756662,50,20,0,0,1
Renault,Clio,22.1,5.615384615,75.57692308,1219.653846,686998,38,20,0,0,1
Ford,Mondeo,39.97375,1.75,130.25,1998.5,646846,17,20,0,0,1
Peugeot,206,20.03375,4.833333333,71.33333333,1631.5,568218,36,16,0,0,1
BMW,320i,47.84837037,6.444444444,126.1111111,1995.777778,562496,4,20,0,0,1
Nissan,Micra,20.3776087,4.869565217,67.95652174,1279.695652,521953,34,20,0,0,1
Renault,Megane,26.4498867,5.408866995,87.31034483,1623.793103,515146,38,18,0,0,1
Volkswagen,Polo,18.1925,5.074074074,60.96296296,1408.055556,511265,50,20,0,0,1
Ford,Ka+,15.46,5.0,60.8,1196.0,432018,17,18,0,0,1
Honda,Civic,29.942625,4.5,106.225,1480.575,409448,18,20,0,0,1
Ford,Escort,16.20874359,4.461538462,63.56410256,1650.205128,307828,17,20,0,0,1
Citroen,Xsara,22.36209302,4.88372093,72.58139535,1743.44186,295529,8,16,0,0,1
Toyota,Yaris,20.7206,3.52,74.4,1397.8,278060,48,15,0,0,1
Peugeot,307,27.46483636,4.872727273,86.45454545,1723.0,267343,36,13,0,0,1
Volkswagen,Passat,46.06451282,6.487179487,125.4358974,1835.846154,254080,50,20,0,0,1
Mercedes,CLA,46.5274,7.04,131.6,1596.92,253299,30,33,0,0,1
Peugeot,306,18.64264,4.84,67.0,1698.64,250314,36,20,0,0,1
Audi,A4,57.92693548,6.161290323,149.7096774,2283.112903,239059,3,19,0,0,1
Toyota,Corolla,27.23911864,3.033898305,91.61016949,1677.949153,238211,48,20,0,0,1
Peugeot,106,12.35588235,4.647058824,53.88235294,1366.294118,216167,36,20,0,0,1
Nissan,Almera,22.78208333,4.916666667,81.66666667,1847.666667,200522,34,19,0,0,1
Renault,Laguna,34.02059211,5.552631579,99.0,1920.026316,189345,38,20,0,1,0
Citroen,Saxo,12.32981818,4.818181818,53.81818182,1367.272727,179179,8,18,0,0,1
Mini,Cooper,31.38814286,6.714285714,111.0,1711.571429,178584,31,9,0,0,1
Rover,2000,17.182,5.0,74.0,1994.0,178541,39,31,0,0,1
Land-Rover,Freelander,43.86363077,5.292307692,105.1692308,2083.523077,168658,24,16,0,1,0
Peugeot,406,28.60820513,4.756410256,92.82051282,2043.820513,167288,36,18,0,0,1
Toyota,Avensis,37.31523077,4.323076923,103.6769231,1873.261538,164072,48,16,0,0,1
BMW,535i,93.71425,8.0,225.0,2979.0,163235,4,20,0,0,1
Land-Rover,Discovery,107.4521429,8.0,182.5714286,2425.428571,162450,24,20,0,1,0
Honda,Jazz,26.3525,0.0,80.0,1498.0,151010,18,12,0,0,1
Audi,A3,36.21929825,6.473684211,94.33333333,1424.666667,143593,3,17,0,0,1
Skoda,Fabia,19.00794118,5.205882353,66.97058824,1292.352941,141902,42,14,0,0,1
Nissan,Primera,26.51269565,4.02173913,93.58695652,1933.021739,136796,34,20,0,0,1
Mercedes,E,78.07322727,7.672727273,192.4,2598.818182,132278,30,20,0,0,1
Honda,Accord,39.39984314,5.784313725,117.7058824,2151.647059,130348,18,20,0,0,1
Citroen,C3,22.90364865,5.405405405,75.64864865,1364.0,118729,8,12,0,0,1
Toyota,RAV4,43.54851613,1.35483871,137.7741935,2261.193548,116880,48,20,0,0,1
Mercedes,A,31.1045119,4.547619048,93.01190476,1699.119048,112009,30,16,0,0,1
Seat,Ibiza,19.93814035,5.649122807,76.31578947,1205.192982,109005,41,20,0,0,1
Renault,Scenic,32.06304348,5.956521739,89.34782609,1472.826087,107851,38,11,0,1,0
Peugeot,207,21.70216667,4.9,79.76666667,1536.0,105681,36,8,0,0,1
Saab,9-3X,49.28583333,6.0,145.0,1963.666667,103544,40,16,0,0,1
Ford,Galaxy,53.78571429,6.0,124.8571429,1855.0,100961,17,19,0,1,0
Skoda,Octavia,30.65053846,6.346153846,95.0,1136.692308,97647,42,16,0,0,1
Mazda,MX-5,37.46857143,5.857142857,103.4285714,1718.571429,88949,29,20,0,0,1
Rover,75,39.35238095,5.0,98.04761905,1928.714286,88443,39,15,0,0,1
Jaguar,XE,65.56875,8.0,167.25,1998.0,86982,20,13,0,0,1
Land-Rover,Range,107.6705126,8.277310924,196.3361345,2521.092437,83649,24,40,0,1,0
Suzuki,Vitara,26.803,5.428571429,85.71428571,1310.0,79703,46,20,0,0,1
Volvo,V70,50.96109091,6.181818182,135.2909091,1971.163636,79392,51,17,0,1,0
Audi,A6,82.06090909,7.727272727,199.7272727,2790.454545,77170,3,19,0,1,0
Mini,One,24.09525,6.25,68.75,1498.25,76350,31,10,0,0,1
BMW,118i,37.4265,6.2,104.2,1796.6,71102,4,10,0,0,1
Volvo,S40,35.28132353,5.176470588,113.3529412,2106.5,70495,51,18,0,0,1
Seat,Leon,32.93965169,6.348314607,114.8202247,1615.370787,68192,41,14,0,0,1
Ford,Fusion,19.37890909,4.863636364,61.27272727,1470.909091,67988,17,12,0,0,1
Mazda,323,17.34364706,4.745098039,70.92156863,1683.607843,65242,29,20,0,0,1
Suzuki,Swift,19.08518182,3.727272727,68.90909091,1180.545455,64732,46,20,0,0,1
Mazda,6,42.66935185,5.907407407,118.1851852,2095.185185,64210,29,12,0,0,1
Volkswagen,Beetle,33.25025,6.166666667,112.75,1475.0,63956,50,20,0,0,1
Rover,45,23.322,3.75,84.2,1853.9,62716,39,14,0,0,1
Audi,TT,64.59222222,6.777777778,178.5555556,2011.555556,61684,3,15,0,0,1
Mercedes,CLK,72.79589474,6.210526316,166.3157895,3041.0,60027,30,16,0,0,1
Hyundai,Getz,13.63642857,4.714285714,69.0,1424.857143,59765,19,12,0,0,1
Hyundai,Accent,14.293,4.6,75.4,1479.0,59442,19,19,0,0,1
Volvo,V40,35.81481651,6.293577982,117.4311927,1921.46789,58570,51,18,0,0,1
Citroen,C4,29.26025,5.95,90.625,1462.3625,54171,8,9,0,0,1
Jaguar,S-Type,66.58842105,5.736842105,172.3157895,2934.631579,52798,20,15,0,0,1
Toyota,Carina,17.44569231,4.692307692,68.26923077,1791.230769,51154,48,20,0,0,1
Toyota,Celica,31.5255,5.166666667,109.6666667,1861.833333,50613,48,20,0,0,1
Citroen,C2,15.14,5.0,64.0,1382.75,48947,8,11,0,0,1
Nissan,X-Trail,47.361875,3.75,113.375,1774.8125,48863,34,12,0,1,0
Subaru,Impreza,30.5976,1.8,97.6,1757.6,48588,45,20,0,0,1
Mazda,3,30.99513158,5.789473684,101.8947368,1905.631579,48248,29,10,0,0,1
Ford,Puma,30.3775,6.3125,94.0625,935.625,47596,17,17,0,0,1
Volkswagen,Bora,25.39952941,4.647058824,78.85294118,1891.588235,47236,50,15,0,0,1
MG,ZR,21.02333333,5.0,92.33333333,1729.333333,46540,27,13,0,0,1
